
driverlog/pfile16,,
driverlog/pfile17,,
driverlog/pfile18,,
driverlog/pfile19,,
driverlog/pfile2,18416,4008
driverlog/pfile20,,
driverlog/pfile3,190,19
driverlog/pfile4,9708,1177
driverlog/pfile5,23829,579
driverlog/pfile6,727,32
driverlog/pfile7,1929,35
driverlog/pfile8,1473596,65243
driverlog/pfile9,246100,6232
elevators-opt08-strips/p01.pddl,0,388
elevators-opt08-strips/p02.pddl,0,18
elevators-opt08-strips/p03.pddl,0,3701
elevators-opt08-strips/p04.pddl,0,3775
elevators-opt08-strips/p05.pddl,,36133
elevators-opt08-strips/p06.pddl,,32958
elevators-opt08-strips/p07.pddl,,
elevators-opt08-strips/p08.pddl,,
elevators-opt08-strips/p09.pddl,,
elevators-opt08-strips/p10.pddl,,
elevators-opt08-strips/p11.pddl,0,556
elevators-opt08-strips/p12.pddl,0,1336
elevators-opt08-strips/p13.pddl,0,3331
elevators-opt08-strips/p14.pddl,,6394
elevators-opt08-strips/p15.pddl,,5355
elevators-opt08-strips/p16.pddl,,
elevators-opt08-strips/p17.pddl,,
elevators-opt08-strips/p18.pddl,,
elevators-opt08-strips/p19.pddl,,
elevators-opt08-strips/p20.pddl,,
elevators-opt08-strips/p21.pddl,0,1834
elevators-opt08-strips/p22.pddl,0,15745
elevators-opt08-strips/p23.pddl,,
elevators-opt08-strips/p24.pddl,,
elevators-opt08-strips/p25.pddl,,25392
elevators-opt08-strips/p26.pddl,,
elevators-opt08-strips/p27.pddl,,
elevators-opt08-strips/p28.pddl,,
elevators-opt08-strips/p29.pddl,,
elevators-opt08-strips/p30.pddl,,
elevators-opt11-strips/p01.pddl,0,556
elevators-opt11-strips/p02.pddl,0,1834
elevators-opt11-strips/p03.pddl,0,1336
elevators-opt11-strips/p04.pddl,0,3701
elevators-opt11-strips/p05.pddl,0,3331
elevators-opt11-strips/p06.pddl,0,3775
elevators-opt11-strips/p07.pddl,,
elevators-opt11-strips/p08.pddl,,36133
elevators-opt11-strips/p09.pddl,0,15745
elevators-opt11-strips/p10.pddl,,6394
elevators-opt11-strips/p11.pddl,,
elevators-opt11-strips/p12.pddl,,
elevators-opt11-strips/p13.pddl,,
elevators-opt11-strips/p14.pddl,,
elevators-opt11-strips/p15.pddl,,
elevators-opt11-strips/p16.pddl,,5355
elevators-opt11-strips/p17.pddl,,
elevators-opt11-strips/p18.pddl,,
elevators-opt11-strips/p19.pddl,,
elevators-opt11-strips/p20.pddl,,
floortile-opt11-strips/opt-p01-001.pddl,94931,763
floortile-opt11-strips/opt-p01-002.pddl,52744,240
floortile-opt11-strips/opt-p02-003.pddl,3875105,84656
floortile-opt11-strips/opt-p02-004.pddl,2601081,28333
floortile-opt11-strips/opt-p03-005.pddl,,41457
floortile-opt11-strips/opt-p03-006.pddl,,76272
floortile-opt11-strips/opt-p04-007.pddl,,
floortile-opt11-strips/opt-p04-008.pddl,,
floortile-opt11-strips/opt-p05-009.pddl,,
floortile-opt11-strips/opt-p05-010.pddl,,
floortile-opt11-strips/opt-p06-011.pddl,,
floortile-opt11-strips/opt-p06-012.pddl,,
floortile-opt11-strips/opt-p07-013.pddl,,
floortile-opt11-strips/opt-p07-014.pddl,,
floortile-opt11-strips/opt-p08-015.pddl,,
floortile-opt11-strips/opt-p08-016.pddl,,
floortile-opt11-strips/opt-p09-017.pddl,,
floortile-opt11-strips/opt-p09-018.pddl,,
floortile-opt11-strips/opt-p10-019.pddl,,
floortile-opt11-strips/opt-p10-020.pddl,,
freecell/pfile1,8,8
freecell/pfile10,,
freecell/pfile11,,
freecell/pfile12,260949,
freecell/pfile13,,
freecell/pfile14,,
freecell/pfile15,,
freecell/pfile16,,
freecell/pfile17,,
freecell/pfile18,,
freecell/pfile19,,
freecell/pfile2,17,17
freecell/pfile20,,
freecell/pfile3,29,29
freecell/pfile4,2084,1374
freecell/pfile5,2575,
freecell/pfile6,11238,
freecell/pfile7,219474,
freecell/pfile8,,
freecell/pfile9,93632,
freecell/probfreecell-10-1.pddl,,
freecell/probfreecell-10-2.pddl,,
freecell/probfreecell-10-3.pddl,,
freecell/probfreecell-10-4.pddl,,
freecell/probfreecell-10-5.pddl,,
freecell/probfreecell-11-1.pddl,,
freecell/probfreecell-11-2.pddl,,
freecell/probfreecell-11-3.pddl,,
freecell/probfreecell-11-4.pddl,,
freecell/probfreecell-11-5.pddl,,
freecell/probfreecell-12-1.pddl,,
freecell/probfreecell-12-2.pddl,,
freecell/probfreecell-12-3.pddl,,
freecell/probfreecell-12-4.pddl,,
freecell/probfreecell-12-5.pddl,,
freecell/probfreecell-13-1.pddl,,
freecell/probfreecell-13-2.pddl,,
freecell/probfreecell-13-3.pddl,,
freecell/probfreecell-13-4.pddl,,
freecell/probfreecell-13-5.pddl,,
freecell/probfreecell-2-1.pddl,9,9
freecell/probfreecell-2-2.pddl,8,8
freecell/probfreecell-2-3.pddl,8,8
freecell/probfreecell-2-4.pddl,8,8
freecell/probfreecell-2-5.pddl,9,9
freecell/probfreecell-3-1.pddl,14,14
freecell/probfreecell-3-2.pddl,30,31
freecell/probfreecell-3-3.pddl,12,12
freecell/probfreecell-3-4.pddl,12,12
freecell/probfreecell-3-5.pddl,34,34
freecell/probfreecell-4-1.pddl,149,
freecell/probfreecell-4-2.pddl,28,
freecell/probfreecell-4-3.pddl,45,
freecell/probfreecell-4-4.pddl,298,
freecell/probfreecell-4-5.pddl,247,
freecell/probfreecell-5-1.pddl,1120,
freecell/probfreecell-5-2.pddl,1174,
freecell/probfreecell-5-3.pddl,803,
freecell/probfreecell-5-4.pddl,1185,
freecell/probfreecell-5-5.pddl,47904,
freecell/probfreecell-6-1.pddl,43854,
freecell/probfreecell-6-2.pddl,9922,
freecell/probfreecell-6-3.pddl,655,
freecell/probfreecell-6-4.pddl,7580,
freecell/probfreecell-6-5.pddl,,
freecell/probfreecell-7-1.pddl,,
freecell/probfreecell-7-2.pddl,26670,
freecell/probfreecell-7-3.pddl,606,
freecell/probfreecell-7-4.pddl,,
freecell/probfreecell-7-5.pddl,,
freecell/probfreecell-8-1.pddl,,
freecell/probfreecell-8-2.pddl,,
freecell/probfreecell-8-3.pddl,31039,
freecell/probfreecell-8-4.pddl,,
freecell/probfreecell-8-5.pddl,,
freecell/probfreecell-9-1.pddl,,
freecell/probfreecell-9-2.pddl,,
freecell/probfreecell-9-3.pddl,,
freecell/probfreecell-9-4.pddl,,
freecell/probfreecell-9-5.pddl,,
grid/prob01.pddl,2177,53
grid/prob02.pddl,,
grid/prob03.pddl,,
grid/prob04.pddl,,
grid/prob05.pddl,,
gripper/prob01.pddl,172,100
gripper/prob02.pddl,1610,1331
gripper/prob03.pddl,11224,10530
gripper/prob04.pddl,67558,66169
gripper/prob05.pddl,375044,372608
gripper/prob06.pddl,1979650,
gripper/prob07.pddl,10088368,
gripper/prob08.pddl,,
gripper/prob09.pddl,,
gripper/prob10.pddl,,
gripper/prob11.pddl,,
gripper/prob12.pddl,,
gripper/prob13.pddl,,
gripper/prob14.pddl,,
gripper/prob15.pddl,,
gripper/prob16.pddl,,
gripper/prob17.pddl,,
gripper/prob18.pddl,,
gripper/prob19.pddl,,
gripper/prob20.pddl,,
logistics00/probLOGISTICS-10-0.pddl,,
logistics00/probLOGISTICS-10-1.pddl,,
logistics00/probLOGISTICS-11-0.pddl,,
logistics00/probLOGISTICS-11-1.pddl,,
logistics00/probLOGISTICS-12-0.pddl,,
logistics00/probLOGISTICS-12-1.pddl,,
logistics00/probLOGISTICS-13-0.pddl,,
logistics00/probLOGISTICS-13-1.pddl,,
logistics00/probLOGISTICS-14-0.pddl,,
logistics00/probLOGISTICS-14-1.pddl,,
logistics00/probLOGISTICS-15-0.pddl,,
logistics00/probLOGISTICS-15-1.pddl,,
logistics00/probLOGISTICS-4-0.pddl,1135,76
logistics00/probLOGISTICS-4-1.pddl,1381,194
logistics00/probLOGISTICS-4-2.pddl,293,52
logistics00/probLOGISTICS-5-0.pddl,12893,935
logistics00/probLOGISTICS-5-1.pddl,1333,181
logistics00/probLOGISTICS-5-2.pddl,48,8
logistics00/probLOGISTICS-6-0.pddl,12713,933
logistics00/probLOGISTICS-6-1.pddl,439,34
logistics00/probLOGISTICS-6-2.pddl,9505,514
logistics00/probLOGISTICS-6-9.pddl,6739,536
logistics00/probLOGISTICS-7-0.pddl,649814,7749
logistics00/probLOGISTICS-7-1.pddl,,155289
logistics00/probLOGISTICS-8-0.pddl,209253,3269
logistics00/probLOGISTICS-8-1.pddl,5537166,43663
logistics00/probLOGISTICS-9-0.pddl,989346,14089
logistics00/probLOGISTICS-9-1.pddl,169194,707
logistics98/prob01.pddl,,12650
logistics98/prob02.pddl,,
logistics98/prob03.pddl,,
logistics98/prob04.pddl,,
logistics98/prob05.pddl,2223812,31
logistics98/prob06.pddl,,
logistics98/prob07.pddl,,
logistics98/prob08.pddl,,
logistics98/prob09.pddl,,
logistics98/prob10.pddl,,
logistics98/prob11.pddl,,
logistics98/prob12.pddl,,
logistics98/prob13.pddl,,
logistics98/prob14.pddl,,
logistics98/prob15.pddl,,
logistics98/prob16.pddl,,
logistics98/prob17.pddl,,
logistics98/prob18.pddl,,
logistics98/prob19.pddl,,
logistics98/prob20.pddl,,
logistics98/prob21.pddl,,
logistics98/prob22.pddl,,
logistics98/prob23.pddl,,
logistics98/prob24.pddl,,
logistics98/prob25.pddl,,
logistics98/prob26.pddl,,
logistics98/prob27.pddl,,
logistics98/prob28.pddl,,
logistics98/prob29.pddl,,
logistics98/prob30.pddl,,
logistics98/prob31.pddl,6328,68
logistics98/prob32.pddl,9565,116
logistics98/prob33.pddl,,92698
logistics98/prob34.pddl,,
logistics98/prob35.pddl,,1658
miconic/s1-0.pddl,4,4
miconic/s1-1.pddl,3,3
miconic/s1-2.pddl,4,4
miconic/s1-3.pddl,4,4
miconic/s1-4.pddl,4,4
miconic/s10-0.pddl,5684753,57
miconic/s10-1.pddl,5966200,64
miconic/s10-2.pddl,4201264,74
miconic/s10-3.pddl,6394408,52
miconic/s10-4.pddl,6320844,44
miconic/s11-0.pddl,,78
miconic/s11-1.pddl,,57
miconic/s11-2.pddl,,95
miconic/s11-3.pddl,,18047
miconic/s11-4.pddl,,76
miconic/s12-0.pddl,,54
miconic/s12-1.pddl,,85
miconic/s12-2.pddl,,102
miconic/s12-3.pddl,,80
miconic/s12-4.pddl,,61
miconic/s13-0.pddl,,79
miconic/s13-1.pddl,,19828
miconic/s13-2.pddl,,117
miconic/s13-3.pddl,,74
miconic/s13-4.pddl,,74
miconic/s14-0.pddl,,70
miconic/s14-1.pddl,,83
miconic/s14-2.pddl,,127
miconic/s14-3.pddl,,101
miconic/s14-4.pddl,,118
miconic/s15-0.pddl,,109
miconic/s15-1.pddl,,183
miconic/s15-2.pddl,,154
miconic/s15-3.pddl,,167
miconic/s15-4.pddl,,156
miconic/s16-0.pddl,,111
miconic/s16-1.pddl,,111
miconic/s16-2.pddl,,136
miconic/s16-3.pddl,,211
miconic/s16-4.pddl,,137
miconic/s17-0.pddl,,167
miconic/s17-1.pddl,,174
miconic/s17-2.pddl,,179
miconic/s17-3.pddl,,115
miconic/s17-4.pddl,,
miconic/s18-0.pddl,,182
miconic/s18-1.pddl,,213
miconic/s18-2.pddl,,187
miconic/s18-3.pddl,,165
miconic/s18-4.pddl,,144
miconic/s19-0.pddl,,202
miconic/s19-1.pddl,,216
miconic/s19-2.pddl,,
miconic/s19-3.pddl,,206
miconic/s19-4.pddl,,160
miconic/s2-0.pddl,20,8
miconic/s2-1.pddl,25,8
miconic/s2-2.pddl,25,8
miconic/s2-3.pddl,19,7
miconic/s2-4.pddl,18,10
miconic/s20-0.pddl,,
miconic/s20-1.pddl,,158
miconic/s20-2.pddl,,481
miconic/s20-3.pddl,,267
