Domain,Instance,DR,DR+TR+NC+LM,NC+LM,NC,LM
elevators-opt11-strips,p02.pddl,8,32,32,0,32
elevators-opt11-strips,p03.pddl,4,30,30,0,30
elevators-opt11-strips,p04.pddl,4,26,26,0,26
elevators-opt11-strips,p05.pddl,13,39,39,0,38
elevators-opt11-strips,p06.pddl,9,26,26,0,26
elevators-opt11-strips,p07.pddl,6,33,33,0,33
elevators-opt11-strips,p08.pddl,9,37,37,0,37
elevators-opt11-strips,p09.pddl,3,29,29,0,27
elevators-opt11-strips,p10.pddl,6,42,42,0,41
elevators-opt11-strips,p11.pddl,10,34,34,0,33
elevators-opt11-strips,p12.pddl,10,25,25,0,25
elevators-opt11-strips,p13.pddl,6,28,28,0,28
elevators-opt11-strips,p14.pddl,7,26,26,0,26
elevators-opt11-strips,p15.pddl,14,38,38,0,38
elevators-opt11-strips,p16.pddl,10,35,35,0,35
elevators-opt11-strips,p17.pddl,14,49,49,0,48
elevators-opt11-strips,p18.pddl,13,44,44,0,44
elevators-opt11-strips,p19.pddl,9,33,33,0,32
elevators-opt11-strips,p20.pddl,6,38,38,0,37
floortile-opt11-strips,opt-p01-001.pddl,25,30,30,20,28
floortile-opt11-strips,opt-p01-002.pddl,25,29,28,23,24
floortile-opt11-strips,opt-p02-003.pddl,33,44,43,24,40
floortile-opt11-strips,opt-p02-004.pddl,32,37,36,27,33
floortile-opt11-strips,opt-p03-005.pddl,42,46,43,40,40
floortile-opt11-strips,opt-p03-006.pddl,42,47,46,38,42
floortile-opt11-strips,opt-p04-007.pddl,44,47,45,36,43
floortile-opt11-strips,opt-p04-008.pddl,44,51,50,33,48
floortile-opt11-strips,opt-p05-009.pddl,54,58,57,48,54
floortile-opt11-strips,opt-p05-010.pddl,56,58,58,45,56
floortile-opt11-strips,opt-p06-011.pddl,66,70,69,55,65
floortile-opt11-strips,opt-p06-012.pddl,67,69,66,54,65
floortile-opt11-strips,opt-p07-013.pddl,68,72,69,54,68
floortile-opt11-strips,opt-p07-014.pddl,68,70,68,54,66
floortile-opt11-strips,opt-p08-015.pddl,81,87,85,75,77
floortile-opt11-strips,opt-p08-016.pddl,81,87,83,68,78
floortile-opt11-strips,opt-p09-017.pddl,93,98,95,84,89
floortile-opt11-strips,opt-p09-018.pddl,92,101,98,85,91
floortile-opt11-strips,opt-p10-019.pddl,97,103,99,76,97
floortile-opt11-strips,opt-p10-020.pddl,99,102,98,79,95
freecell,pfile1,6,8,8,8,4
freecell,pfile10,5,37,37,36,13
freecell,pfile11,5,39,39,37,19
freecell,pfile12,5,37,37,36,15
freecell,pfile13,5,41,41,41,15
freecell,pfile14,5,40,40,40,14
freecell,pfile15,5,46,46,45,19
freecell,pfile16,5,46,46,45,14
freecell,pfile17,5,,49,48,16
freecell,pfile18,5,50,50,48,18
freecell,pfile19,5,55,55,52,23
freecell,pfile2,6,13,13,13,6
freecell,pfile20,5,52,52,52,20
freecell,pfile3,6,17,17,17,6
freecell,pfile4,6,22,,,
freecell,pfile5,5,25,25,25,13
freecell,pfile6,5,29,29,28,14
freecell,pfile7,5,28,28,28,16
freecell,pfile8,5,33,,,
freecell,pfile9,5,34,34,33,17
freecell,probfreecell-10-1.pddl,5,42,42,41,14
freecell,probfreecell-10-2.pddl,5,41,41,41,14
freecell,probfreecell-10-3.pddl,5,42,,,
freecell,probfreecell-10-4.pddl,5,40,40,40,15
freecell,probfreecell-10-5.pddl,5,41,41,40,16
freecell,probfreecell-11-1.pddl,5,46,46,45,15
freecell,probfreecell-11-2.pddl,5,45,45,45,15
freecell,probfreecell-11-3.pddl,5,46,46,46,15
freecell,probfreecell-11-4.pddl,5,46,46,46,16
freecell,probfreecell-11-5.pddl,5,45,45,44,17
freecell,probfreecell-12-1.pddl,5,50,50,49,16
freecell,probfreecell-12-2.pddl,5,49,49,49,16
freecell,probfreecell-12-3.pddl,5,51,51,51,18
freecell,probfreecell-12-4.pddl,5,50,50,50,17
freecell,probfreecell-12-5.pddl,5,50,50,48,24
freecell,probfreecell-13-1.pddl,5,54,54,53,18
freecell,probfreecell-13-2.pddl,5,53,53,53,17
freecell,probfreecell-13-3.pddl,5,55,55,55,18
freecell,probfreecell-13-4.pddl,5,,54,54,20
freecell,probfreecell-13-5.pddl,5,,54,52,23
freecell,probfreecell-2-1.pddl,5,9,,,
freecell,probfreecell-2-2.pddl,5,8,8,8,3
freecell,probfreecell-2-3.pddl,5,8,8,8,5
freecell,probfreecell-2-4.pddl,5,8,8,8,5
freecell,probfreecell-2-5.pddl,5,9,,,
freecell,probfreecell-3-1.pddl,5,14,14,14,6
freecell,probfreecell-3-2.pddl,5,12,12,12,5
freecell,probfreecell-3-3.pddl,5,12,,,
freecell,probfreecell-3-4.pddl,5,12,12,12,6
freecell,probfreecell-3-5.pddl,5,12,,,
freecell,probfreecell-4-1.pddl,5,18,18,17,7
freecell,probfreecell-4-2.pddl,5,16,16,16,6
freecell,probfreecell-4-3.pddl,5,17,17,17,7
freecell,probfreecell-4-4.pddl,5,16,16,16,6
freecell,probfreecell-4-5.pddl,5,16,16,16,6
freecell,probfreecell-5-1.pddl,5,22,22,21,8
freecell,probfreecell-5-2.pddl,5,20,20,20,7
freecell,probfreecell-5-3.pddl,5,22,22,22,8
freecell,probfreecell-5-4.pddl,5,20,20,20,8
freecell,probfreecell-5-5.pddl,5,20,,,
freecell,probfreecell-6-1.pddl,5,26,26,25,9
freecell,probfreecell-6-2.pddl,5,24,24,24,9
freecell,probfreecell-6-3.pddl,5,26,26,26,9
freecell,probfreecell-6-4.pddl,5,24,24,24,8
freecell,probfreecell-6-5.pddl,5,24,24,24,10
freecell,probfreecell-7-1.pddl,5,30,30,29,10
freecell,probfreecell-7-2.pddl,5,29,29,29,10
freecell,probfreecell-7-3.pddl,5,30,30,30,10
freecell,probfreecell-7-4.pddl,5,28,28,28,11
freecell,probfreecell-7-5.pddl,5,28,28,28,11
freecell,probfreecell-8-1.pddl,5,34,34,33,12
freecell,probfreecell-8-2.pddl,5,33,33,33,11
freecell,probfreecell-8-3.pddl,5,34,34,34,11
freecell,probfreecell-8-4.pddl,5,32,32,32,12
freecell,probfreecell-8-5.pddl,5,33,33,32,12
freecell,probfreecell-9-1.pddl,5,38,38,37,13
freecell,probfreecell-9-2.pddl,5,37,37,37,12
freecell,probfreecell-9-3.pddl,5,38,,,
freecell,probfreecell-9-4.pddl,5,36,36,36,13
freecell,probfreecell-9-5.pddl,5,37,37,36,14
grid,prob01.pddl,3,10,10,2,10
